t,lat,lon,speed,course
0.0,51.4545,-2.5879,0.0,90.0
0.2,51.4545,-2.5878988851646274,0.38666666666666666,90.0
0.4,51.4545,-2.5878966554938825,0.7733333333333333,90.0
0.6000000000000001,51.4545,-2.587893310987765,1.16,90.0
0.8,51.4545,-2.5878888516462752,1.5466666666666666,90.0
1.0,51.4545,-2.587883277469413,1.9333333333333333,90.0
1.2000000000000002,51.4545,-2.5878765884571777,2.32,90.0
1.4000000000000001,51.4545,-2.5878687846095705,2.7066666666666666,90.0
1.6,51.4545,-2.587859865926591,3.0933333333333333,90.0
1.8,51.4545,-2.5878498324082386,3.48,90.0
2.0,51.4545,-2.587838684054514,3.8666666666666667,90.0
2.2,51.4545,-2.5878264208654165,4.253333333333333,90.0
2.4000000000000004,51.4545,-2.587813042840947,4.64,90.0
2.6,51.4545,-2.587798549981105,5.026666666666666,90.0
2.8000000000000003,51.4545,-2.58778294228589,5.413333333333333,90.0
3.0,51.4545,-2.587766219755303,5.8,90.0
3.2,51.4545,-2.5877483823893432,6.1866666666666665,90.0
3.4000000000000004,51.4545,-2.5877294301880114,6.573333333333333,90.0
3.6,51.4545,-2.5877093631513066,6.96,90.0
3.8000000000000003,51.4545,-2.58768818127923,7.346666666666667,90.0
4.0,51.4545,-2.58766588457178,7.733333333333333,90.0
4.2,51.4545,-2.5876424730289584,8.12,90.0
4.4,51.4545,-2.587617946650764,8.506666666666666,90.0
4.6000000000000005,51.4545,-2.587592305437197,8.893333333333333,90.0
4.800000000000001,51.4545,-2.5875655493882577,9.28,90.0
5.0,51.4545,-2.5875376785039457,9.666666666666666,90.0
5.2,51.4545,-2.587508692784261,10.053333333333333,90.0
5.4,51.4545,-2.5874785922292047,10.44,90.0
5.6000000000000005,51.4545,-2.5874473768387753,10.826666666666666,90.0
5.800000000000001,51.4545,-2.5874150466129735,11.213333333333333,90.0
6.0,51.4545,-2.587381601551799,11.6,90.0
6.2,51.4545,-2.587347041655253,11.986666666666666,90.0
6.4,51.4545,-2.5873113669233336,12.373333333333333,90.0
6.6000000000000005,51.4545,-2.587274577356042,12.76,90.0
6.800000000000001,51.4545,-2.587236672953378,13.146666666666667,90.0
7.0,51.4545,-2.587197653715341,13.533333333333333,90.0
7.2,51.4545,-2.587157519641932,13.92,90.0
7.4,51.4545,-2.5871162707331505,14.306666666666667,90.0
7.6000000000000005,51.4545,-2.5870739069889965,14.693333333333333,90.0
7.800000000000001,51.4545,-2.58703042840947,15.08,90.0
8.0,51.4545,-2.586985834994571,15.466666666666667,90.0
8.200000000000001,51.4545,-2.5869401267442997,15.853333333333333,90.0
8.4,51.4545,-2.5868933036586554,16.24,90.0
8.6,51.4545,-2.586845365737639,16.626666666666665,90.0
8.8,51.4545,-2.5867963129812503,17.013333333333332,90.0
9.0,51.4545,-2.586746145389489,17.4,90.0
9.200000000000001,51.4545,-2.5866948629623554,17.786666666666665,90.0
9.4,51.4545,-2.586642465699849,18.173333333333332,90.0
9.600000000000001,51.4545,-2.58658895360197,18.56,90.0
9.8,51.4545,-2.586534326668719,18.946666666666665,90.0
10.0,51.4545,-2.586478584900095,19.333333333333332,90.0
10.200000000000001,51.4545,-2.586421728296099,19.72,90.0
10.4,51.4545,-2.5863637568567306,20.106666666666666,90.0
10.600000000000001,51.4545,-2.586304670581989,20.493333333333332,90.0
10.8,51.4545,-2.586244469471876,20.88,90.0
11.0,51.4545,-2.5861831535263895,21.266666666666666,90.0
11.200000000000001,51.4545,-2.586120722745531,21.653333333333332,90.0
11.4,51.4545,-2.5860571771293,22.04,90.0
11.600000000000001,51.4545,-2.5859925166776967,22.426666666666666,90.0
11.8,51.4545,-2.5859267413907205,22.813333333333333,90.0
12.0,51.4545,-2.585859851268372,23.2,90.0
12.200000000000001,51.4545,-2.5857918463106513,23.586666666666666,90.0
12.4,51.4545,-2.5857227265175577,23.973333333333333,90.0
12.600000000000001,51.4545,-2.5856524918890917,24.36,90.0
12.8,51.4545,-2.5855811424252533,24.746666666666666,90.0
13.0,51.4545,-2.585508678126043,25.133333333333333,90.0
13.200000000000001,51.4545,-2.5854350989914594,25.52,90.0
13.4,51.4545,-2.5853604050215035,25.906666666666666,90.0
13.600000000000001,51.4545,-2.5852845962161752,26.293333333333333,90.0
13.8,51.4545,-2.5852076725754745,26.68,90.0
14.0,51.4545,-2.585129634099401,27.066666666666666,90.0
14.200000000000001,51.4545,-2.585050480787956,27.453333333333333,90.0
14.4,51.4545,-2.584970212641138,27.84,90.0
14.600000000000001,51.4545,-2.584888829658947,28.226666666666667,90.0
14.8,51.4545,-2.584806331841384,28.613333333333333,90.0
15.0,51.4545,-2.5847227191884485,29.0,90.0
15.200000000000001,51.4545,-2.584639106535513,29.0,90.0
15.4,51.4545,-2.584555493882577,29.0,90.0
15.600000000000001,51.4545,-2.5844718812296414,29.0,90.0
15.8,51.4545,-2.584388268576706,29.0,90.0
16.0,51.4545,-2.5843046559237703,29.0,90.0
16.2,51.4545,-2.584221043270835,29.0,90.0
16.400000000000002,51.4545,-2.5841374306178992,29.0,90.0
16.6,51.4545,-2.5840538179649637,29.0,90.0
16.8,51.4545,-2.583970205312028,29.0,90.0
17.0,51.4545,-2.5838865926590926,29.0,90.0
17.2,51.4545,-2.583802980006157,29.0,90.0
17.400000000000002,51.4545,-2.5837193673532215,29.0,90.0
17.6,51.4545,-2.583635754700286,29.0,90.0
17.8,51.4545,-2.5835521420473504,29.0,90.0
18.0,51.4545,-2.583468529394415,29.0,90.0
18.2,51.4545,-2.5833849167414793,29.0,90.0
18.400000000000002,51.4545,-2.5833013040885437,29.0,90.0
18.6,51.4545,-2.583217691435608,29.0,90.0
